areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
orc_fortress_1	67	100.0	2.25	100.0	2.18	100.0	2.17	0.0	15.28	100.0	2.66	100.0	2.30	100.0	2.78	0.0	4.14
orc_fortress_1	69	100.0	2.20	100.0	2.14	100.0	2.11	0.0	14.87	100.0	2.59	100.0	2.24	100.0	2.69	0.0	3.98
orc_fortress_1	71	100.0	2.15	100.0	2.10	100.0	2.06	0.0	13.87	100.0	2.46	100.0	2.18	100.0	2.60	0.0	4.09
orc_fortress_1	73	100.0	2.10	100.0	2.06	100.0	2.03	0.0	13.42	100.0	2.39	100.0	2.13	100.0	2.50	0.0	3.98
orc_fortress_1	75	100.0	2.06	100.0	2.01	100.0	1.99	0.0	12.54	100.0	2.33	100.0	2.11	100.0	2.43	0.0	3.95
orc_fortress_1	77	100.0	1.99	100.0	1.95	100.0	1.94	0.0	11.43	100.0	2.25	100.0	2.06	100.0	2.37	0.0	3.93
orc_fortress_1	79	100.0	1.96	100.0	1.92	100.0	1.89	0.0	10.14	100.0	2.21	100.0	2.02	100.0	2.31	0.0	3.85
orc_fortress_1	81	100.0	1.91	100.0	1.88	100.0	1.84	0.0	8.67	100.0	2.17	100.0	2.00	100.0	2.26	0.0	3.75
orc_fortress_1	83	100.0	1.86	100.0	1.78	100.0	1.76	0.0	6.93	100.0	2.09	100.0	1.97	100.0	2.22	0.0	3.60
orc_fortress_1	85	100.0	1.79	100.0	1.74	100.0	1.70	16.0	5.17	100.0	2.06	100.0	1.90	100.0	2.19	0.0	3.60
orc_fortress_1	87	100.0	1.73	100.0	1.67	100.0	1.63	57.0	3.98	100.0	2.00	100.0	1.87	100.0	2.13	0.0	3.56
orc_fortress_1	89	100.0	1.67	100.0	1.61	100.0	1.58	97.0	3.05	100.0	1.97	100.0	1.82	100.0	2.09	0.0	3.50
orc_fortress_1	91	100.0	1.61	100.0	1.55	100.0	1.51	99.0	2.68	100.0	1.92	100.0	1.80	100.0	2.05	0.0	3.45
orc_fortress_1	93	100.0	1.56	100.0	1.49	100.0	1.44	100.0	2.44	100.0	1.89	100.0	1.77	100.0	2.00	0.0	3.40
orc_fortress_1	95	100.0	1.47	100.0	1.40	100.0	1.38	100.0	2.30	100.0	1.80	100.0	1.74	100.0	1.98	0.0	3.37
orc_fortress_1	97	100.0	1.41	100.0	1.36	100.0	1.31	100.0	2.24	100.0	1.74	100.0	1.70	100.0	1.95	0.0	3.35
orc_fortress_1	99	100.0	1.35	100.0	1.32	100.0	1.28	100.0	2.18	100.0	1.70	100.0	1.67	100.0	1.92	0.0	3.36
