areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
lizardman_swamp_1	54	0.0	7.02	0.0	5.43	0.0	4.35	0.0	8.87	100.0	9.89	37.0	4.22	0.0	6.40	0.0	3.36
lizardman_swamp_1	56	0.0	7.08	0.0	5.51	0.0	4.89	0.0	9.69	100.0	9.55	68.0	4.07	0.0	6.52	0.0	3.42
lizardman_swamp_1	58	0.0	7.21	0.0	5.69	0.0	5.15	0.0	10.75	100.0	9.00	95.0	3.93	0.0	7.59	0.0	3.34
lizardman_swamp_1	60	0.0	7.53	0.0	6.10	0.0	5.46	0.0	12.01	100.0	8.63	99.0	3.79	0.0	8.90	0.0	3.35
lizardman_swamp_1	62	0.0	7.95	0.0	6.74	0.0	5.69	0.0	11.70	100.0	7.92	100.0	3.59	7.0	9.66	0.0	3.74
lizardman_swamp_1	64	0.0	9.85	0.0	7.19	0.0	5.86	0.0	13.11	100.0	7.37	100.0	3.44	51.0	9.30	0.0	4.39
lizardman_swamp_1	66	0.0	12.80	0.0	8.15	0.0	6.13	0.0	17.70	100.0	6.93	100.0	3.31	93.0	8.89	0.0	4.53
lizardman_swamp_1	68	0.0	12.66	0.0	10.85	0.0	6.25	0.0	18.13	100.0	6.45	100.0	3.17	100.0	8.24	0.0	4.93
lizardman_swamp_1	70	0.0	11.66	0.0	10.51	0.0	6.21	0.0	18.34	100.0	5.99	100.0	3.04	100.0	7.80	0.0	5.62
lizardman_swamp_1	72	0.0	10.72	0.0	10.01	0.0	6.05	0.0	17.82	100.0	5.58	100.0	2.96	100.0	7.33	0.0	6.45
lizardman_swamp_1	74	0.0	9.02	3.0	8.31	14.0	5.50	0.0	17.41	100.0	5.29	100.0	2.88	100.0	6.87	0.0	6.45
lizardman_swamp_1	76	8.0	7.42	18.0	6.52	60.0	4.86	0.0	16.85	100.0	4.99	100.0	2.81	100.0	6.45	0.0	6.08
lizardman_swamp_1	78	35.0	5.48	63.0	4.74	89.0	4.08	0.0	16.28	100.0	4.61	100.0	2.72	100.0	5.96	0.0	5.81
lizardman_swamp_1	80	86.0	4.27	93.0	3.92	99.0	3.56	0.0	15.79	100.0	4.41	100.0	2.65	100.0	5.63	0.0	6.10
lizardman_swamp_1	82	100.0	3.53	100.0	3.37	100.0	3.24	0.0	14.96	100.0	4.05	100.0	2.60	100.0	5.33	0.0	6.73
lizardman_swamp_1	84	100.0	3.31	100.0	3.17	100.0	3.05	0.0	14.06	100.0	3.73	100.0	2.55	100.0	5.03	0.0	5.82
lizardman_swamp_1	86	100.0	3.09	100.0	2.95	100.0	2.88	0.0	12.97	100.0	3.36	100.0	2.46	100.0	4.69	0.0	5.20
lizardman_swamp_1	88	100.0	2.91	100.0	2.79	100.0	2.72	0.0	11.73	100.0	3.24	100.0	2.40	100.0	4.47	0.0	5.01
lizardman_swamp_1	90	100.0	2.72	100.0	2.64	100.0	2.53	1.0	10.23	100.0	3.01	100.0	2.33	100.0	4.24	0.0	5.14
